NAZWA_1;NAZWA_2
Kwiat Lotosu;
Kujawiaka;
Wyjątkowa;
Kijaka;Stefana
Wołodyjowskiej;Basi
Sitarska II;
Biesika;Floriana
Wiśnicz;
Martyny;
Trzech Ogrodów;
Kajuta;Księdza Zygmunta
Majcherczyka;Juliana
Brończyka;Andrzeja
Nad Knajką;
Pustelników;Świętych
Żurańskiego;Księdza Andrzeja
Koëllinga;Hermana
Diesla;Dr Rudolfa
Toledańska;
Romanowskiej;Izabeli
Hanuszkiewicza;Adama
Szegedyńska;
Do Brzezin;
Ostrawska;
Bezruczki;gen. Marka
Plac Wczasowy;
Dziadyka;
Mądroszyka;Gustawa
Papisten;Triny
Templariuszy;
Rymanowskiego;
Tunel Tumski;
Marka z Aviano;bł.
Maćka;
Słojewskiego;Księdza Kanonika Henryka
Zdrojewskiego;gen. Antoniego
Warmińskiego;Dr. Emila
Markwarta;Ks. Ryszarda
Rondo Załęcze;
Ejankowskiego;
Matuszaka;kpr. Franciszka
Grapowa;Wilhelma
Ignasze;
Wielka Łąka;
Radawska;
osiedle Okrzei;
Rondo Gwiezdne;
Bochniewicza;
P. O. W.;
Rębisze;
Artymiaka;dr Antoniego
Sędka;dr Stanisława
Więcborskie;
Hadady;Stanisława
Tetelowskiej;Zofii
Hawierka;
Scultetusa;Bartolomeo
Holice;
Engelmana;
Kulisiewiczów;
Kamosińskiego;
Biznes Park;
Polana Klucz;
Rozstaje;
Nad Kamienicą;
Cienka;
Rondo Grzybowo;
Plac Andrzeja;
Kniaziowa;
Plac Pałacowy;
Molli;Świętej Joanny Beretty
Stefanii;
Łąkieć;
Bukowieckiego;Ks. Macieja
Herbatnikowa;
Pączkowa;
Plac Pionierów;
Aleja Legend;
Podżarze;
Plac Rzędziana;
Złotego Kłosa;
Kaczyńskiej;Pierwszej Damy Marii
Rabiegi;por. Józefa
Januszewicza;
Siatkarska;
Jaśminy;
Czarnoty;
Serafiny;
Grubeckiego;Marka
Sernikowa;
Gądzio-Kos;mjr AK S.
Rondo Gwarków;
Sowiogórska;
Błotnickich;
Osiedle Wschód;
Plac Wrzosowy;
Kresów II RP;
Jaśkowa;
Wujca;
Kokosanki;
Mango;
Kuryatty;Czesława
Ryguły;dr Krystyny
Rondo Cassino;
Osiedle 1 Maja;
Maciejek;
Werbińskiego;Porucznika
Osiedle Bugaj;
Knychalskiego;Witolda
Zajczonki;Waldemara
Brzosy;
Zbójecka;
Gutowicza;Mordechaja
Klapucha;imienia Ks. dr. Gustawa
Plac Farmacji;
Zielona Łąka;
Turkowiec;
Sewera;
Pyłkowa;
Kożedo;
Rawskiego;Feliksa
Jackiewiczowej;Elżbiety
Karabuły;Księdza Wojciecha
Morawiańskiego;
Czerwonej Róży;
Rynek Dębnicki;
Pagieły;Ks. Kanonika Stanisława
Park Źródliska;
Dzięgielowska;
Gołaźnia;
Koczura;Feliksa
Osiedle Kabaty;
Plac Gladbeck;
Wisławica;
Aleja Kwiatów;
Plac Quirinich;
Wybiegowa;
Fikusa;Stefana
Osiedle Avia;
Lajourdie;inż. Jana Marka
Kotkowskiego;Stanisława
Dźwigońskiego;Księdza Franciszka
Opałka;Profesora Kazimierza Tadeusza
Emira;Porucznika
Plac Wolnica;
Fryzego;Stanisława
Plac Miejski;
Pod Cyprysami;
Zielony Dołek;
Kapitanów;
Progi;
Korzkiewska;
Park Krakowski;
Silickiego;płk Leona
Barwinka;
Ropelewskiego;Hm. mjr. Antoniego Zygmunta
Rynek Miejski;
Złoty Brzeg;
osiedle Łąkowa;
Pięciu Potoków;
Stachowska;
Hefajstosa;
Rodzińskiej;bł. Julii
Rondo Podwale;
Ostowska;
Przy lesie;
Demczuka;Karola
Kubita;Ojca Anzelma
Trzebnicki Raj;
Srebrna Ostoja;
"Kryka ""Topoli""";
Chuchera;Edwarda
Plac Różany;
Garbuczaka;Edmunda
Prusak;Bolesławy
Park Ocalałych;
Osiedle Północ;
Jasionek;
Na Cegielnie;
Park Decjusza;
Maja 1945 r.;8
Wicherkiewicza;Profesora Bolesława Wiktora
Pronaszków;Zbigniewa i Andrzeja
Jasnorzewskiej;Marii
Żuczków;
Plac Synagogi;
Park Załęski;
Plac Alfreda;
Wichrowe Pola;
Szwajcary;
Nowa Łąka;
Hanczarka;Wiesława
rondo Jezuitów;
Estragonowa;
Michalinka;
Glicyniowa;
Waculika;księdza Gerarda
Dehnelów;
Bobrzyńskiego;Profesora Michała
Rynek Fałęcki;
Wąchały;Porucznika
Jaśkowa Górka;
Kowalczyków;Jerzego i Ryszarda
Tarłów;
Majzela;Eliasza Chaima
Januszewskiego;ks. Antoniego
Ryterska;
Ratanice Nowe;
Zazadnia;
Plac Filaka;
Różyczki;
Brodeckiego;
Maziarska;
Majdańskie;
Eklerki;
Deserowa;
Przytargowa;
Schreibera;Franciszka
Os. Parkowe;
Burdy;Księdza Adama
Kujawianka;
Ludwiżanki;Barbary
Długoszyn;
Okrzei Stefana;
Wodzickiej;Eleonory
Pajerskiej;Marii
Spiczakowa;Profesora Teodora
Osiedle Zgody;
Michałowa;
Park Zdrojowy;
Plac Rubina;
Chotomskiej;Wandy
Park Szwedzki;
Małysiaka;bpa Albina
Stoszki;Księdza Ignacego
Adamczyk;Jolanty
Ulotna;
Plac Zamielno;
Tuchołki;Piotra
Bieżanowskiego;ks. Adama
Poelziga;Hansa
Baczynowa;
Do Zatoki;
Hilgendorfa;Kapitana Roberta
Paziewskiego;Stanisława
Podkamienne;
Skowrona;im. ppor. pil. Józefa
Grodna;
Semanowizna;
Park Zadole;
Mapy;
Nadmłynie;
Karwińskiego;Mieczysława
Berlinek;
Strzyżyków;
Kupilasa;
Kowalewicza;Jana
Rondo Browar;
Sieruty;Stanisława
Michałkiewicza;Księdza Władysława
Echo Leśne;
Zlata;Mieczysława
Cetulska;
Teraźniejsza;
Chotyńska;
Dolina Sarny;
Skwer Papieski;
Rondo Gronowo;
Rondo DOZAMETU;
Szosa Lubicka;
Werbenowa;
Biszkoptowa;
Nakielskie;
Potza;Jerzego
Na Rozstaju;
Szyllinga;Antoniego
Park Jordana;
Osiedle Wandy;
Park Ratuszowy;
Angeli;Błogosławionej Marii
Obarskiego;Antoniego
Starzyka;Mjr. Władysława
Jeziorowskich;Braci
Wilkaska;
Rożena;Władysława
Zarszyńska;
Straszewskiego;
Pograniczników;
Dejmka;Kazimierza
Siewierskiego;Mieczysława
Dedeciusa;Karla
Na Szpon;
Kęszyckiego;Daniela
Nad Ochlą;
Pl. Wolności;
Waraksiewicza;Gen.
Krasnodębska;
Plac Rybaka;
Tajemna;
Gelli;Prof. Aleksandra
Ney;Nory
Bezowa;
Ciemniewskiego;Księdza Marcelego
Kokarda;
Hojki;ks. Pawła
Dembowskiej;
Wyszehradzka;
Titz-Kosko;Jadwigi
Mezowska;
Sztandarowa;
Do Folwarku;
Dolne Stawy;
Górne Stawy;
Cichy Ogród;
Nowotnego;Jana
Piwonia;ks. E.
Rondo Mazury;
Edelmana;Marka
Bittnera;Generała
Na glinkach;
Łaszewo;
Plac Polski;
Europa;
Tomaszunasa;dr. Zygmunta
Zawackiej;gen. Elżbiety
Na Morgi;
Dereckiego;Mirosława
Opalskiego;Ks. Adama
Drozdowicza;Dr Michała
Kulmów;Joanny i Jana
Na Orlej;
Podokólne;
Lekka;
Wincklera;Franza
Uśmiech lasu;
Śmiałka;Władysława
Załącze;
Grzybiarzy;
Fragment;
Grudzieckiego;Ks. Kanonika Edwarda
Os. Górki;
Os. Jagódki;
Os. Kluka;
Os. Francja;
Chwałkowskiego;Antoniego
Kostkiewicza;Ppłk. Zygmunta
Cukierkowa;
Millana;Harcmistrza Stanisława
Bieniarzówny;Profesor Janiny
Droga Do Zamku;
Nowogranicka;
Dudwała;por. Hieronima
Czeszewskiego;ks. Antoniego
Almeryjska;
Malbima;Rabina
Ossendowskiego;Ferdynanda
Walerowskiego;Ojca Janusza
Kameli;prof. Czesława
Knauera;Kazimierza
Wodzieniec;
Dzwonków;
Ognista;
Średniowieczna;
Lauterbacha;Heinricha
Musiela;ks. Biskupa Franciszka
Malwinowska;
Łosińskiego;Ks. B.
Pradolina;
Śniatały;Księdza Stanisława
Jarcewska;
Jarzyny;Franciszka
Brylla;ks. Prałata Stefana
Os. Hatale;
Kolińskiego;dr. J.
Na Olimpie;
Skwer 3 Maja;
Rąpały;dr. Eugeniusza
Raszewskiego;Zbigniewa
Korczyńskiej;Mieczysławy
Kolnica;
Góreckiej;Jadwigi
Dziopaka;im. Ryszarda
Do Ignasia;
Rittlera;Dr Edwarda
Mizery;ks. Ludwika
Majerz;
Kołkowicza;im. Jana
Bednarze;
Galosówka;
Dalnica;
osiedle Nowe;
Nietoperzowa;
Islandzka;
Todka;
Os. Haczki;
Os. Hajosty;
Os. Urbanki;
Madlerowej;Wandy
Jagusiówka;
Bulwar Portowy;
Rudniańska;
Os. Kamieniec;
osiedle Leśne;
Byka;
Wójcika;Księdza Józefa
Elizejska;
Os. Moskwiki;
Os. Polaki;
Os. Szafarze;
Furdzika;Andrzeja
Lubosza;Bolesława
Na Zaciszu;
Kościeszów;
Szafrańców;
Patka;Antoniego
Aleja Robinii;
Kowole;
Furtki;
Osiedle Łąkowe;
Dukat;
Elsanta;
Leśnej Mgły;
Rondo Chicago;
Podbrzeżki;
Ku Potoku;
Za Dębem;
Bogdanowska;
Brneńska;
Pl. Reymonta;
Stelmachowa;
Wilki;
Dolina Sójki;
Informatyków;
Skwer Seniora;
Wojnowskiego;Stanisława
Florczaka;Ks.
Wolff;Heleny
Dobiszewskiego;Antoniego
Rzadkiego;Ks. Antoniego
Abakanowicz;Magdaleny
Zapaśnika;o. Artura
Štefánika;gen. Milana
Bodzanowska;
Os. Sordyle;
Os. Górka;
Os. Hulakówka;
Osiedle Gaj;
Rodu Strzałów;
Skwer Maratonu;
Ledowa;
Plackówka;
Pstrowskiego;Wincentego
Zubrzyckiego;Franciszka
Osiedle Wazów;
Hankego;Edwarda
Wasowskiego;Jerzego
Jabłońskiej;Joanny
Muszelki;
30 lecia;
Porośle;
Gór Stołowych;
Budzikowa;
Drynikowskiego;ks. Kazimierza
Stamirowskiego;Jerzego
Strączki;
Ku Studni;
Na Przełęcz;
Osiedle Zimowe;
Klakurki;Mikołaja
Niesyto;ks. Sylwestra
Wydry;
Kapitalna;
Podmaszycka;
Chodzonego;
Os. Mydlarze;
Os. Świerkowe;
Os. Maturówka;
Prussa;Ks. kan. Franciszka
Brenno-Pole;
Augusta;hr.
Ilskiego;Franciszka
Kacpury;Antoniego
Służby Polsce;
Pazińskiego;Romana
Plac Myśliwca;
Osiedle 3 Maja;
Plac Nad Odrą;
Góry św. Anny;
Poznańskiego;Mariana
Rondo Północ;
Pod Kamieńcem;
Nektarynkowa;
Łabentowicza;Księdza Zygmunta
Wawrzynkowa;
Mocko;Księdza Jana Ewangelisty
Majówkowa;
Kajetańczyka;Ks. Jana
Heller;Sławomiły
Żmijewskiego;Kazimierza
Rakietowców;
Guzy;Piotra
Moczydłowskiej;Marii
Bałucki Rynek;
Eliaszówka;
Stocha;Kamila
Na Pustki;
Targ Maślany;
Dorpacka;
Garbocza;ks. Stanisława
Marcika;Józefa
Szczęsnej;Klary
Bublewicza;Mariana
W Dolinie;
Osiedle Żaków;
Industrialna;
Uklańskiego;Witolda
Aleje Łużyckie;
Orłana;
Na Stajonka;
Skwer Laury;
Leśna Polanka;
Kręglewskiego;Adama
rondo Chodaków;
Szwana;Henryka
Jeziorowice;
Szymkowiak;bł. Marii Sancji
Puffke;Emmy
Gajeckiego;Księdza Stanisława
Gniewosz;Heleny
Zembrza;
Tonsil;
Plac Marka;
Rzymowskiego;Wincentego
Szapocznikow;Aliny
Os. Potrójna;
Os. Praciaki;
Os. Biadasów I;
Bródek;
Os. Świątkówka;
Pobiedr;
Lisy;
Aleja Widokowa;
Patrona Miasta;Św. Urbana I -
Colonny;hr.
Tietza;Oskara
Lewartowskiego;Józefa
Plac Basztowy;
Kol. Budniki;
Dolina Żurawi;
Rynek Duży;
Nad Bugiem;
Zamoyskich;
Lelka - Sowy;Stefana
Iczka;Wincentego
Parola;Antoniego
Fondamińskiego;Edwarda
Plac Koszarowy;
Żemaitisa;Kiejstuta
Podświętna;
Nad Sawicą;
Nad Lutynką;
Do Barci;
Ligasówka;
Pod Ogród;
Osiedle Gajowe;
Sygrydy;Świętosławy
Rondo Zaborowo;
Faworytka;
Jurałomskiego;por. Józefa
Błeńskiej;Wandy
Gruchmanowej;Moniki
Na Kamieniec;
Gablera;lek. med. ppłk. Władysława
Granata;Ks. Wincentego
Kukułówka;
Rondo Pliszki;
Kurkumy;
Pipera;Ottomara
Rondo Besteru;
Słomki Jana;
Opałki;Księdza Serafina
Sęczyka;Stanisława
Tarnawa;
Poliamidowa;
Korbasa;Ignacego
Niepozorna;
Wrzosu;
Szwarca;Marka
Pingwinów;
Leśnej Paproci;
Wiatraków;
Korneckiego;Ks. Stanisława
Pagóry;
Ku Skarpie;
Maja 1945r.;8
Heidricha;Jerzego
Korusa;Piotra
Syczewskiego;Księdza Aleksandra
Kolonia PZNF;
Augustynika;Księdza Grzegorza
Prądno;
Rafaczówki;
Międzymorze;
Monsunowa;
Bracki;
Uthkego;
Ochla-Stepowa;
Racula-Ruciana;
Ochla-Kalinowa;
Racula-Śliwowa;
Krępa-Krótka;
Ochla-Leśna;
Łężyca-Leśna;
Ochla-Dzika;
Zawada-Kręta;
Ochla-Bukowa;
Krępa-Dolna;
Ochla-Wiśniowa;
Drzonków-Miła;
Ochla-Młyńska;
Merkleina;ks.
Maszoperii;
Dolina Dramy;
Rondo Sygnały;
Rondo Ligockie;
Herbu Oksza;
Marca 1938 r.;6
Brzasku;
Buchta;
Wayne'a;Johna
Wachlowskiego;Kamila
Bierezina;Jacka
Okudżawy;Bułata
Na skraju;
Borowa Górka;
Plac Moniuszki;
Kostyszyn;
Szeremeta;ks. Władysława
Kubasy;
Golocki;
Rząski;
Złotego Dębu;
Klementynowska;
Bałuki;Edmunda
Lisaka;ks. Antoniego
Markiewiczowej;
Odwozy;
Szkolna Boczna;
Iwan;
Matygówka;
Walentynowska;
Iwańska;
Na Kotowcu;
Pohoskiego;Jana
Nowe Borki;
Macionia;Ks. Bernarda
Hasa;Wojciecha
Trampisza;Kazimierza
Osiedle Górali;
Blanki i Igora;
Olescha;Profesora
Skwer Sąsiadów;
Alei Róż;
Kozłowskiej;Heleny
Nowe Bechcice;
Indonezyjska;
Osiedle WSK;
Rondo Polsad;
Dobrzańskich;
Aldridge'a;Iry
Schollów;Rodzeństwa
Plac Bawół;
1000 Lecia;
Barania Góra;
Skrawek Nieba;
Witczyka;ks. Henryka
Zarzeckiej;Ireny
Mikołajca;Józefa
Urszulin;
Żychonia;mjr. Jana Henryka
"Zawackiej ""Zo""";gen. Elżbiety
Multańskiego;
Stanikowskiego;Andrzeja
Wróbel;dr Anny
Krassowskiego;
Sicie;
Rózgi;Leszka
Wendelbergera;Łucjana
Klawesynowa;
Jopa;Biskupa Franciszka
Przylep-8 Maja;
Konstadta;Hermana
Grossków;Braci
Chrzana;Jana Nepomucena
Gary;
Justa;św.
Białowodzka;
Juzy;ks. Juliana
Aleja Bukowa;
Mularska;
Bojakowskiej;Ireny
Reformacji;
Domki Leśne;
Propolisowa;
Korbońskiego;Stefana
Pod Rachowem;
Fiśkowa Dolina;
Luszyńska;
Pod Ostrą;
Jędrzejaki;
Hynowskie;
Rogalewicz;Zofii
Park Legionów;
Jaczewskiego;Dra Kazimierza
Opuncjowa;
Osiedle Modrze;
Migdałkowa;
Hupki;Antoniego
Na Księżycu;
Golan;Ester
Fenichela;Abby
Kobernickiej;Heleny
Rydzkowskiego;Juliana
Fibigera;Gustawa Arnolda
Skwer Rybka;
Rondo Zagórze;
Warlowska;
Dobrosąsiedzka;
Teklomirska;
Depowa;
Przy Jordanie;
Chodzieskie;
Snadnych;
LG;
Bazówka;
Parkurowa;
Metalurgów;
Wierzejewskich;Wincentego i Jana
Sieradzana;Ks. Józefa
Skulskiego;Leopolda
Za Stodołami;
Podolin;
Kornelówka;
Szaflarskiej;Danuty
Krynki;
Słabońskiego;prof. Andrzeja
Prawicy;ks. Marcelego
Winnickiego;Księdza
Dębówiec;
Rabinowicza;Rabina Szlomo
Gaje;
Kozacza Góra;
Kosackiego;Józefa
Trzy Widoki;
Makowe Wzgórze;
Zienkiewiczów;
Berga;Maxa
Hakuby;Ignatza
Orlej;
Pod Sosenkę;
Odkrywki;
Kołowrockiego;Pawła
Aleja Bayeux;
Drendy;Księdza
Czajewicza;
Załączna;
Dule;
Łabińskiego;o. Kazimierza
Al. Huberta;
Sadyba;
Nadział;
Aleja Bielska;
osiedle Sadowe;
Chochołowa;
Ładosia;Rotmistrza Jana
Melancholijna;
Łaszkiewicza;płk. pil. Stefana
Frydeckiego;Andrzeja
Pustułkowa;
Cyrkowicza;dr Włodzimierza
Caspariego;Emila
Götza;Barona Jana
Czubrowicka;
Dworski Trakt;
Jerzykowa;
Suwarta;Jana
Manueli;
Haralda;Jerzego
Kazka;Ks. Fr.
Nad Stokiem;
Plac 3 Marca;
Szpilka;
Fitznerów;
Kontnego;Kś. Pawła
Sutarskiego;Idziego
Aleja Słońca;
Sobocików;Bolesława i Zygmunta
Wolszlegera;Ks.Antoniego
Barskich;Krystyny i Mariana
Spontaniczna;
Kajtochowej;Anny
Koło Studni;
Łaśnicka;
Aleja Jodłowa;
Danickiego;Ks. Stanisława
Mrówczyńskiego;Ks.
Os. Zalesie;
Clareny;
Mazurczaka;Kazimierza
Pod Jamą;
Bohatyrowicza;
Starobaśniowa;
Elasa;Wójta Józefa
Sznajdrowicza;Księdza Ferdynanda
Płanki;
Jurzyste;
Porcelitowa;
Smykle;
Stomy;Władysława
Plac Myśliwski;
Modlibowskiego;Józefa
Bręczewskiego;Stanisława
Szurmana;Biskupa Tadeusza
Wiosny;
Diabazowa;
Na Skotnicę;
Ramży;
Krupowska;
Aleja Grabowa;
Szklany Ogród;
Koszyn;
Gminy Cölbe;
Krzaklewskiego;Stanisława
Jaworkowa;
Plac Rybaki;
Przemyka;Grzegorza
Czudecka;
Kolonia A;
Wesslów;
Pracz;
Dębniak;
Iglewskiego;ppłk. Antoniego
Zefirkowa;
Rondo Pałacowe;
Wernisażowa;
Burza;
Bary;Feliksa
Bobra;
Wcisło;Księdza
Plac 650-lecia;
Białej Akacji;
Maryszewicka;
Szlak Żubra;
Droga Kalejska;
Chmielowskie;
Behrendta;
Florkiewicza;
Muznerowskiego;Księdza
Więcka;Feliksa
Do Wiatraka;
Matuszka;ks. Józefa
Malcowizna;
Mireckiej;Mirosławy
Kwarty;
Pod Górkę;
Zapaśników;
Łudzika;księdza Eugeniusza
Park Włoski;
XV Lecia;
Leśny;
Fersta;Mieczysława
Sternhela;Henryka
Gidzińskiego;Bolesława
Cunitia;Marii
Plac Młynów;
Autostradowa;
Oktowo;
Rondo Meksyk;
ELZAB;
za Wiatrakiem;
Gamy;
Kozieradki;
Ciepłowników;
Bańdury;
Roesler;Zofii
Plac 3-go Maja;
Greissa;Bronisława
Miele;
Fink;Idy
Kotowskiej;Błogosławionej Siostry Alicji
Kawęczyn;
Dyły;Tomasza
Radziwiłłówka;
Bartniki;
Benesza;Andrzeja
Na Kliny;
Iwańskiej;Alicji
Aleja Weissa;
Blask;
Moczulskiej;Hanny
Nadkościół;
Podkościół;
Bolzańska;
Habicha;Edwarda
Gruszecka;
Obrembskiego;Ks. Prałata Józefa
Kasztanowca;
Plac Kultury;
Fuksjowa;
Lubiczówka;
Kucharzyka;Adama
Dymkowska;
Rondo Sokoła;
Hodowicka;
Holoubka;Gustawa
Konikowa;
Bosaka;Ks. Franciszka
Rajskiego;księdza Ryszarda
Bindowa;
Gamary;
Olczyka;Ignacego
Kolonia B;
Swinarskiej;Marii
Na Brzeg;
Węgierkowa;
Szapela;Księdza Edwarda
Cedru;
Kettlinga;
Welurowa;
Poematu;
Wesołowskich;Antoniego i Tadeusza
Kajakarska;
Rzepki;Józefa
Mchu;
Banasie;
Plac Dzika;
Plac Kormorana;
Grenicznik;
Przy Wale;
Respądka;Ks. Prof. Dr Jana
Koszackiego;Adama Rycka
Müllera CR;ks. Jana
Kwarto;ks. Teodora
Osiedle Alaska;
Baden-Powella;Roberta
Siarkowskiego;Ks. Władysława
Wołynki;Stefanii
Wrzecionek;
Jałocho;Ks.Romana
Plac Stawowy;
Trzy Dworki;
Szewińskiej;Ireny
Rodu Wybickich;
Sapały;
Źródło;
Kupczyka;im. Ppłk. Hieronima
Goliana;Księdza Zygmunta
Na górze;
Jałowca;
Wiglowice;
Za Mostkiem;
Osiewacza;ks. Jana
Książnicka;
Mrowia;
Pacanowska;
Rusińskiego;Władysława
Kopiejników;
100-lecia KUL;
Dłużewskiego;aleja Stanisława
Żywca;Dr Tomasza
Cyprysika;
Morska Bryza;
Trawna Góra;
Plac Tulipanów;
Biesiady;Andrzeja
Bryczkowskiego;Ks. Kanonika Mieczysława
Daszuty;Ks. Janusza
Doliny Zimnika;
Dębu;
Wiązu;
Sałka;Księdza Józefa
Osada Miła;
Chamcówny;Mirosławy
Dulębianki;Marii
Hirszfeldowej;Hanny
Bardy;bp. Franciszka
Nycza;Wacława
Beszowska;
Skowroniec;
Krybusa;Doktora Maksymiliana
Plac Gdacjusza;
Rubinkowa;
Chrztu Polski;
Zduniak;Marii
Kołakowskiego;prof. Leszka
Rondo Nanice;
Matysowska;
Wójczańska;
Babiratka;
Radoszów;
Nadstawie;
Nowokorczyńska;
Prusinki;
Lemura;
Przytulii;
Plac Parkowy;
Tylmana;druha Feliksa
Lilaków;
Rynek Praski;
Lech;Janiny
Zamenhoffa;
Wdzydze;
Warlubie;
Jedwabskiego;bp Franciszka
Borowieckiego;Karola
Kudrzyckiego;ks. Prałata Grzegorza
Aleja Łani;
Niepodległej;
Piotrowicz;Katarzyny
Jagódki;
Pavarottiego;Luciana
Mańczaka;Józefa
Fryderyka;
Poddzielec;
Bluszczy;
Srebrne Ogrody;
Piziewicza;Tadeusza
Świtu;
Modliszki;
Kota Filemona;
Czyrnego;dr n. med. płk Stanisława
Prybosz;
Papiego;Bolesława
Luboińskiej;Florentyny
Bielówek;
Stali Mielec;
Chojnice;
Szumańskiej;Ewy
Rondo Powsino;
Aleja Sportowa;
Gdańsk;
Rondo Rybaków;
Liliowca;
Aleja Targowa;
Fantazji;
Przy Obrze;
Osiedle Błoto;
Kobierskiego;Leopolda
Park Ułanów;
Kasperowicza;dr Zygmunta
Niecodzienna;
Wieniawa;
Dworniczak;s. Marii
May'a;Leona Witolda
Łuczkiewicza;
Willi;Ks. Zenona
plac św. Jana;
Kryczyńskiego;
Lachnita;
Freundlicha;Otto
Szumskiego;Jana
Dziatkiewicza;Mariana
Wulffa;Theodora
Most Edisona;
Julin;
Anny Śląskiej;Księżnej
Łubinu;
Peoni;
Sołdka;Stanisława
Aleja Atrakcji;
Aleja Fali;
Plac Atrakcji;
Rolbieckiego;Stanisława
Świechocińska;
Rondo Wólka;
Weilanda;Ottona
Siedmiolaski;
Ryby;Porucznika Tadeusza
Kisiela;Ks. Arcybiskupa Edwarda
Park Pamięci;
Bażanowska;
Aleja Żyrafy;
Smolarka;Włodzimierza
Dzwonka;ks. Józefa
Akcji III Most;
Kupiszewskiego;Edwarda
Jacukowicza;Kazimierza
Tymiany;
Pustoła;Władysława
Sukcesu;
Kabaczkowa;
Przy Kapliczce;
Tajska;
Mendrali;Ks. Władysława
Ficowskiego;Jerzego
Putramenta;
Cykorii;
Macharskiego;Kardynała
Złotliny;
Specjalna;
Sołtyse;
Aleja Wodna;
Prosa;
Zefiru;
Beznazwy;
Plac Górnika;
Górala;
Macierzanek;
Skatowa;
Osiedle Dębicz;
Metalurgii;
Gerbera;
Dublagi;Henryka
Rudzienkowska;
Cegłowskiej;Moniki
Wiencka;Jana
Pod Szyszkami;
Twardeckiego;Alojzego
Kocikowskiego;Witolda
Snarskiego;Bogdana
Nad Jeleniem;
Stary Staw;
Zawiszewskiego;ks. E.
Krzewuszki;
Jawornickiego;Antoniego
Grajkowskiego;Zygmunta
Gaczkowicka;
Na Skale;
Kutermaka;ks. Józefa
Natury;
Skałby;Księdza Franciszka
Turbasy;Józefa
Plac Kolberga;
Zapłotki;
Miśko;Floriana
Jaskólskiego;Jana
Kaźmierskiego;Tadeusza
Ułańskie;
Elbergi;
Żeglińskiego;
Kauna;
Hibiskusowa;
Fedorowicza;Księdza Aleksandra
Aleja Dąbrówki;
Żesławskiego;Majora
Troyana;
Kwapulińskiej;Pelagii
Dalbora;Ks. Kardynała Edmunda
Na Niwę;
Pieskowa Skała;
Kontynentalna;
Łąki Kijewskie;
Bressuire;
Kujałowicz;Aleksandry
Białej Okszy;
Niemierzy;
Tarnowiec;
Chyleniecka;
Nieniewskiego;Płk A.
Kusztelaka;Osiedle Ks. Wacława
Armatowskiego;ks. Leona
Klematisowa;
Machuta;Jana
Na Krzyżu;
Mołodycka;
Za dworem;
Mirabelowa;
Bukowińskiego;ks. Władysława
Stara Szkoła;
Jaworowskiego;Bp Leona Ludwika
Grabiasa;Adama
Strumiłły;Tadeusza
Plac Piechoty;
Park Bogucki;
Do Jałowca;
Do Magury;
Filipkowskiego;Stanisława
Międzywodzie;
Załanie;
Nikliborca;Jana
Symboliczna;
Pajka;Księdza
Jarosławicka;
Pagacza;Księdza Emila
Kalifornijska;
Dondajewskiego;
Dar Morza;
Lazarowicza;Majora
Staniewicza;Komandora Jerzego
Pagór;
Wikliniarzy;
Łepkowicza;
Oś Królewska;
Sztuk Pięknych;
Radomicka;
Gozdowska;
Przygórze;
Rećki;Zbigniewa
Junga;ks. Edwarda
MKS Cieśliki;
Poranna Rosa;
Lechii Gdańsk;Pokoleń
Ballady;
Sobalaków;
Machałowa;
Osiedle Jasne;
Kropelkowa;
Grodzińskiego;Jerzego
Sass-Zdort;Barbary
Fichny;Bolesława
Na Stawie;
Mieczyka;
Migdałowca;
Wisłockiej;Michaliny
Olta Żyrowica;
Madeja;Porucznika
Formeli;Apolinarego
Adamusa;Aleksandra
Przy Zaporze;
Gontarskiego;Augustyna
Nad Nysą;
Za Strugą;
Flisikowskiego;Mieczysława
Plac Reymonta;
Widów;
Niecia;Teofila
Rondo Zatorze;
Chicińskiego;Jana
Rudowicza;Księdza Kanonika Stefana
Rajgrasowa;
Bywalca;Plac im. Jerzego
Stokrotka;
Miąskowskiego;Feliksa
Franczaka;sierż. Józefa
Grabówki;
Stasiewskiego;
Dębowskiej;Marii
Panfil;Wandy
Plac Elsnera;
Więzików;
Rempińska;
Cyraniaka;Stefana
Wygodzkiego;Stanisława
Zagórnego;mjr. Bolesława
Marcinkowa;
Pawlara;Księdza
Debicha;Henryka
Przy Łąkach;
Romerów;
Skrót;
Mlecza;
Żylistka;
Hengsta;Waltera
Integracyjna;
Retencyjna;
Doboszyńskiego;Adama
Marchewy;Mikołaja
Opatrzności;
Gonionego;
Lutownicza;
Pasjonatów;
Alejka Bzowa;
listopada;11
Kuwik;
Zasłuczańska;
Na Lubini;
Na Mierzei;
Bayera;Walentego
Zabrzeżna;
Twierdza;
ELWRO;
Ormiański;
Zwierza;Księdza Doktora Jana
Wojda;
Kasztanówka;
Stacja Pomp;
B6;
Moskalewskiego;Stanisława
Bezcenna;
Ziajki;Andrzeja
aleja Lipowa;
Łypikówka;
Osiczyna;
Radwany;
Rondo Antoniny;
Sokorskiej;Bogny
Danielewicz;Teresy
Kamienny Park;
Rytmiczna;
Amfory;
Strakacza;Władysława
Kikolska;
Podworska;
rondo Wiślane;
plac 8 Maja;
Skąpskiego;Konstantego
Latuska;Ks. Jana
Włodzimierza;św.
Bratkówka;
Chabowskiego;płk. Zygmunta
Duble;
Pączka;Antoniego
